id;data;sfh5711;sfh3400;tsl261r;sfh3410;sfh2430;bp104fas;tsl13s;tsl2569t_c;tsl2569t_ir;tcs3414_r;tcs3414_g;tcs3414_b;tcs3414_c;df01;df02;df03;df04;df05;df06;df07;df08;df09;df10;i1;i2;i3;i4;i5;i6;i7;probmax;energia;entropia;contraste;homogeneidade;correlacao;tipo_lampada;potencia
375;2013-09-08 19:54:45;2840;1686;1741;1348;1415;3144;2727;15324;9820;2367;25624;22264;6474;0,00989956988301697;0,00914508850463326;0,00904599626980288;0,00547302382569863;0,00167715358414241;0,00277994697677844;0,00105088521041835;0,00155204393648962;0,000526408734013884;0,00142094787023966;0,187099617592017;5,00649170802792e-005;1,44483709943484e-005;6,72826805878279e-006;3,09064522339701e-011;-4,58074914891402e-008;5,86989090497169e-011;0,260405366575173;0,278870035725502;29,2537806019607;-3,89122797594275;3,18266349180881;0,000196720647968161;sodio                                                           ;400
376;2013-09-08 19:57:03;2779;1468;1546;1198;1240;2766;2566;13734;8727;2054;22649;19739;5746;0,0190946187401107;0,0297643031207009;0,0120691204423827;0,0253103119278961;0,0139839754505102;0,0115968642392578;0,00925947991386732;0,00590457500083873;0,00441238483477357;0,00592755577843141;0,18661969956409;0,000200367315213954;4,29510688791948e-006;7,35371459098787e-006;-1,72739556890729e-011;6,80284611829362e-008;-3,75451156010086e-011;0,196191083151225;0,160800874580788;31,7152503510365;-3,85989279979206;3,06160096525362;0,000218226591062551;sodio                                                           ;400
377;2013-09-08 19:57:36;2823;1543;1526;1204;1322;2932;2611;14400;9456;2195;23556;20538;6021;0,00803647814165273;0,0205744522002113;0,00854284826153037;0,00237082759739386;0,00308225584087318;0,00233335078379115;0,000435244686609687;0,0016957961951614;0,00101323122604328;0,000662271654053762;0,17102270932308;0,000263284330182168;1,39482689816353e-005;2,263336924967e-006;-1,2716877235027e-011;4,5544405066303e-009;-5,09912444864683e-014;0,510724597342272;1,04811379719716;20,3901180203855;-8,71196069572202;3,46714892262366;0,000161729336282697;sodio                                                           ;400
378;2013-09-08 19:58:09;2715;1201;1234;1024;1071;2316;2309;11720;8123;1746;19582;16115;4489;0,169163980625191;0,0423428308187044;0,0275527583902228;0,0164887180914217;0,0080858054014334;0,00489538546328495;0,00440209454208474;0,00410525114508518;0,00428012103095964;0,00230662207154316;0,177106535610003;0,000746935898911742;0,0009449625676882;0,00041577460267422;2,60504411917233e-007;2,51405882684755e-006;-7,48415290967523e-009;0,876957016794762;3,06851762450037;7,1901968067155;-36,4814727628546;3,74140971946669;0,000119389439320382;sodio                                                           ;400
379;2013-09-08 19:58:46;2528;935;1093;778;801;1748;1862;8891;5779;1307;14620;12429;3479;0,00737452113829259;0,00567633795168361;0,00771254259797504;0,00327415097225327;0,00472481868936757;0,0039156529469207;0,00517821557981009;0,0036825807679231;0,00436489795323016;0,00332170119048044;0,183398100744413;1,49421818592711e-006;8,97031781490186e-006;2,25566659380219e-006;4,31300796672309e-012;-1,06168629554348e-009;9,18419471636279e-012;0,263950702780162;0,284264040697614;30,2959843500906;-5,13153084359562;3,03196013999087;0,000180870842766391;sodio                                                           ;400
380;2013-09-08 20:06:32;2732;1268;1379;1094;1143;2466;2457;12432;8153;1843;20675;17881;5015;0,0389679198289216;0,0290949051650594;0,0324498082613728;0,0130559862751511;0,0137351769968778;0,0147031735613491;0,0168452935318741;0,0163909021721307;0,01281046809809;0,00980469927634082;0,185639010978509;0,000330801200280852;0,000224076901745137;1,44814488055263e-005;6,49595810449275e-011;1,19619900427043e-007;8,22367368938969e-010;0,270081455625165;0,2967898602632;29,7777997096168;-4,7253735778696;3,11307547572283;0,00019138708457152;sodio                                                           ;400
381;2013-09-08 20:07:07;2840;1635;1688;1328;1384;3103;2704;15092;9529;2221;24794;21601;6200;0,00842684168942803;0,0179490681243092;0,00832697263644357;0,00313906854519697;0,00293041095241323;0,00303591730791;0,00254109933796563;0,00135444252307541;0,00265436803894608;0,000862152815192538;0,165888941227773;0,000268304070950152;1,63799327137941e-005;6,37330865445625e-008;-3,76702123586255e-014;8,14693176147273e-010;5,31164427385162e-014;0,622687334989417;1,55041048594592;17,1376735453785;-13,5744693936139;3,49076237542279;0,000139185658780244;sodio                                                           ;400
382;2013-09-08 20:07:50;2832;1607;1649;1305;1370;3113;2662;14845;9743;2213;24794;21593;6220;0,0114282703816364;0,0164933555838623;0,0117856325319292;0,00227597704732922;0,00440092110387523;0,00187071904880714;0,00202781840781656;0,00222397456224221;0,00118224241242034;0,00166325074436035;0,176741959467764;0,000178372351531742;2,24266658773585e-005;2,04887532435919e-006;2,90227522190319e-014;1,36399177674162e-009;1,38884796313676e-011;0,402471521562246;0,654917784739495;23,9429218948924;-4,59873630327698;3,38204199087446;0,000186063336784525;sodio                                                           ;400
383;2013-09-08 20:08:15;2793;1521;1551;1234;1281;2862;2580;14202;9230;2155;23621;20212;5860;0,00538934111335279;0,0157383272269972;0,00552568497864499;0,00664791059120642;0,00184028991650453;0,00167839644339855;0,00139317880918124;0,00151595066571277;0,00126766336017076;0,00195356578473594;0,178982980701172;0,000139862410867788;7,68192031102464e-006;2,37185078497254e-006;1,35915554065666e-012;5,36454620592839e-009;1,00326761084864e-011;0,354189487366286;0,508378041046227;26,0580132979446;-5,46353346966053;3,29620298640358;0,000193904373389066;sodio                                                           ;400
384;2013-09-08 20:08:45;2716;1388;1554;1119;1138;2636;2423;13256;7669;1900;20833;17578;5215;0,0670927242900141;0,0587133015407759;0,0561115823352103;0,0504642876327085;0,042753977658717;0,038494046159202;0,0328173753288932;0,032273248368956;0,0254166352671847;0,0215046825951067;0,199776901594128;0,000741788779330773;0,00143666234501687;0,00099322719578261;1,16059333017781e-006;2,62178062884176e-005;2,46357514897482e-007;0,433715420588043;0,758636287138887;23,2012987483312;-6,86898421030048;3,38138624599973;0,000170120972137948;sodio                                                           ;400
